"","Date","Mkt.RF","SMB","HML","RMW","CMA","RF"
"335",2011-04-14,0.02,0.67,-0.15,0.11,-0.09,0
"336",2011-04-15,0.17,0.11,-0.12,0.16,0.1,0
"337",2011-04-18,-1.55,0.3,-0.32,0.42,-0.22,0
"338",2011-04-19,0.5,-0.37,-0.08,0.06,0.11,0
"339",2011-04-20,1.97,-0.19,-0.48,-0.08,0.08,0
"340",2011-04-21,0.72,0.03,-0.17,-0.08,0,0
"341",2011-04-22,0,0.03,0.02,-0.02,0.14,0
"342",2011-04-25,-0.09,0.02,0.04,0.06,-0.08,0
"343",2011-04-26,0.67,-0.22,0.12,0.03,0.36,0
"344",2011-04-27,0.69,-0.24,-0.07,0.02,-0.09,0
"345",2011-04-28,0.6,0.03,0.17,0.13,-0.05,0
"346",2011-04-29,0.34,0.06,0,0.03,0.01,0
"347",2011-05-02,0.01,-0.37,0.11,0.34,0.05,0
"348",2011-05-03,-0.55,-0.34,0.25,0.34,0.16,0
"349",2011-05-04,-0.86,0.03,-0.08,0.28,-0.13,0
"350",2011-05-05,-1.14,0.31,-0.11,0.2,0.17,0
"351",2011-05-06,0.08,-0.15,-0.13,0,-0.14,0
"352",2011-05-09,0.31,0.47,-0.3,0,-0.15,0
"353",2011-05-10,0.71,0.02,0.15,-0.04,0.22,0
"354",2011-05-11,-0.94,-0.11,-0.2,0.37,-0.18,0
"355",2011-05-12,-0.06,-0.05,-0.06,-0.02,0.15,0
"356",2011-05-13,-0.89,-0.27,-0.2,0.18,-0.16,0
"357",2011-05-16,-0.5,-0.5,0.01,0.24,-0.09,0
"358",2011-05-17,-0.24,-0.09,0.02,0.03,-0.11,0
"359",2011-05-18,0.78,0.08,-0.09,-0.14,-0.03,0
"360",2011-05-19,0.51,-0.13,-0.19,0.21,-0.01,0
"361",2011-05-20,-0.77,0.33,-0.35,0.07,-0.2,0
"362",2011-05-23,-1.74,0.01,-0.02,0.29,-0.23,0
"363",2011-05-24,0.17,-0.03,-0.07,0.13,-0.15,0
"364",2011-05-25,0.37,-0.1,0.04,-0.32,0.1,0
"365",2011-05-26,0.68,0.41,-0.28,0.04,0.02,0
"366",2011-05-27,0.9,0.05,0.1,-0.14,0.05,0
"367",2011-05-30,-0.08,0.18,-0.01,0.08,-0.03,0
